,id,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,county,state
299719,7193491900,detroit metro,0,2011.0,gmc,terrain slt-1,good,4 cylinders,other,73434.0,clean,automatic,fwd,,other,black,,mi
266773,7184252482,grand forks,14990,2013.0,ford,explorer limited,excellent,6 cylinders,gas,128530.0,clean,automatic,4wd,full-size,SUV,black,,nd
147528,7190001097,new haven,16990,2013.0,honda,accord ex-l coupe 2d,good,6 cylinders,gas,63465.0,clean,other,fwd,,coupe,,,ct
114776,7194890093,oklahoma city,19500,2013.0,ford,f-150 lariat,like new,8 cylinders,gas,,clean,automatic,4wd,,,,,ok
340530,7192074598,treasure coast,1000,1992.0,,junk,new,,other,,clean,other,,,,,,fl
84993,7195928845,atlanta,18990,,,,,,,,,,,,,,,ga
104288,7196328078,"st louis, MO",8500,,,,,,,,,,,,,,,il
418467,7194322262,long island,18985,2010.0,audi,s5,,,gas,107396.0,clean,automatic,,,other,silver,,ny
214600,7193842358,tri-cities,7200,1973.0,,plymouth duster,good,8 cylinders,gas,,clean,automatic,rwd,full-size,,orange,,tn
183228,7194979617,twin falls,0,2015.0,ford,f-350 super duty long bed,,8 cylinders,diesel,166315.0,clean,automatic,4wd,,truck,,,id
82631,7196667189,atlanta,7995,,,,,,,,,,,,,,,ga
185886,7185677797,central NJ,18995,2019.0,mazda,cx-3,,,gas,13076.0,clean,automatic,,,,,,nj
421124,7185278980,northern michigan,3800,1979.0,ford,pinto,good,4 cylinders,gas,74281.0,clean,manual,rwd,,,red,,mi
121725,7196772846,new hampshire,12900,,,,,,,,,,,,,,,nh
69529,7195920231,daytona beach,21000,,,,,,,,,,,,,,,fl
209228,7193276732,reno / tahoe,12000,1982.0,,K10 Scottsdale Heavy Half,excellent,8 cylinders,gas,,clean,automatic,4wd,full-size,pickup,custom,,ca
234179,7180211361,fargo / moorhead,25988,2019.0,ford,transit cargo,,,gas,17831.0,clean,automatic,rwd,,,white,,mn
298242,7193976873,detroit metro,6000,2004.0,,1GKDT13S342385421,excellent,6 cylinders,gas,127000.0,clean,automatic,4wd,full-size,SUV,,,mi
205746,7194356725,knoxville,12790,2014.0,jeep,cherokee,,,gas,103021.0,clean,automatic,4wd,,SUV,,,tn
288286,7185587999,anchorage / mat-su,40194,2020.0,infiniti,qx60,,6 cylinders,gas,1973.0,clean,automatic,4wd,,SUV,,,ak
336811,7181252362,sarasota-bradenton,1800,2005.0,nissan,altima 2.5 4dr sedan,fair,,gas,212000.0,clean,automatic,,,sedan,white,,fl
34110,7191577580,fredericksburg,0,2017.0,ford,f-250 super duty,,8 cylinders,gas,108008.0,clean,automatic,4wd,full-size,truck,white,,va
191716,7194608235,rhode island,0,2011.0,audi,s5,excellent,,gas,103059.0,clean,manual,,,coupe,black,,ri
33901,7189070480,bend,12995,2003.0,toyota,sequoia,excellent,8 cylinders,gas,134119.0,clean,automatic,4wd,,SUV,,,or
395014,7194933714,las vegas,15495,2016.0,kia,optima,excellent,,gas,57641.0,clean,automatic,fwd,,sedan,white,,nv
391581,7188810422,rochester,31990,2019.0,ram,1500 classic,,,gas,5516.0,clean,automatic,4wd,,pickup,silver,,ny
245563,7194294419,"kansas city, MO",14988,2012.0,ford,explorer,,,gas,,clean,automatic,fwd,,,,,ks
271994,7185996511,indianapolis,15997,2014.0,toyota,sienna,like new,6 cylinders,gas,110239.0,clean,automatic,4wd,mid-size,mini-van,red,,in
169896,7191256039,jacksonville,7500,2005.0,bmw,645ci,,,gas,,rebuilt,automatic,,,,,,fl
128758,7183751759,greensboro,0,2016.0,honda,accord,excellent,4 cylinders,gas,44369.0,clean,automatic,,compact,sedan,silver,,nc
5752,7194759822,daytona beach,12990,2012.0,kia,sorento ex sport utility 4d,good,,gas,94416.0,clean,other,fwd,,other,black,,fl
141903,7192794096,gulfport / biloxi,28500,2017.0,dodge,grand caravan se,,,gas,36780.0,clean,automatic,,,,,,ms
356571,7191419507,huntsville / decatur,9995,2013.0,gmc,terrain denali,like new,6 cylinders,gas,142000.0,clean,automatic,4wd,mid-size,SUV,white,,al
130295,7181902387,anchorage / mat-su,32997,2017.0,gmc,sierra 1500,excellent,8 cylinders,gas,20346.0,rebuilt,automatic,4wd,full-size,pickup,silver,,ak
63356,7196784168,albany,12500,,,,,,,,,,,,,,,ny
213577,7185398797,lancaster,5400,2010.0,bmw,328i,good,,gas,150000.0,rebuilt,automatic,4wd,mid-size,sedan,white,,pa
235802,7194042967,tucson,5199,2011.0,mazda,mazda3 i touring,excellent,4 cylinders,gas,118315.0,clean,automatic,,,sedan,,,az
422833,7185862395,roanoke,5200,2008.0,cadillac,sts,good,6 cylinders,gas,85000.0,clean,automatic,rwd,,sedan,,,va
275065,7185162548,birmingham,10995,2013.0,ford,f150 super cab,,,gas,176001.0,clean,automatic,,,,white,,al
196111,7188485542,reno / tahoe,0,2010.0,buick,lacrosse,excellent,6 cylinders,gas,69997.0,clean,automatic,4wd,mid-size,sedan,,,ca
185312,7187909994,central NJ,5600,2007.0,acura,tl,good,6 cylinders,gas,,clean,automatic,fwd,mid-size,sedan,grey,,nj
64751,7194442927,atlanta,0,2017.0,ford,mustang,like new,6 cylinders,gas,89897.0,clean,automatic,fwd,mid-size,coupe,blue,,ga
349133,7194613438,springfield,3799,2010.0,chevrolet,cobalt ls,excellent,4 cylinders,gas,132000.0,clean,manual,rwd,full-size,sedan,black,,mo
83655,7194757916,savannah / hinesville,0,1996.0,,John Deere 6200,,,diesel,1.0,clean,automatic,,,other,green,,ga
321144,7190621000,indianapolis,11990,2009.0,honda,cr-v ex-l sport utility 4d,good,,gas,83709.0,clean,other,,,SUV,,,in
232092,7186060750,scranton / wilkes-barre,3195,2008.0,chevrolet,cobalt,,,gas,157098.0,clean,manual,,sub-compact,sedan,blue,,pa
262454,7193553367,louisville,0,2010.0,chevrolet,equinox,,,gas,101076.0,clean,automatic,,,SUV,red,,ky
9669,7193808884,orlando,18895,2013.0,ford,f-150,,,gas,182142.0,clean,automatic,4wd,,pickup,black,,fl
330315,7179296273,vermont,18995,2018.0,toyota,camry se,excellent,4 cylinders,gas,40825.0,clean,automatic,fwd,full-size,sedan,silver,,vt
423167,7185355218,the thumb,15995,2018.0,ford,fusion,,,gas,41916.0,clean,automatic,,,,,,mi
400549,7184070929,tyler / east TX,9995,2015.0,chevrolet,malibu,excellent,,gas,107672.0,clean,automatic,fwd,,sedan,black,,tx
309146,7188128383,springfield,0,2013.0,chevrolet,equinox ls,good,,other,93371.0,clean,automatic,fwd,,other,,,mo
98504,7185388267,bozeman,39500,2018.0,ford,f-250 sd,,,other,65027.0,clean,automatic,,,,,,mt
178629,7191515384,ocala,3500,2006.0,buick,rendezvous,excellent,6 cylinders,gas,,clean,automatic,fwd,,,,,fl
259112,7194809859,louisville,6495,2008.0,chevrolet,equinox sport awd,excellent,6 cylinders,gas,125198.0,clean,automatic,4wd,mid-size,SUV,black,,ky
302918,7188292055,bellingham,38849,2019.0,ford,f-150 xlt,,8 cylinders,gas,16765.0,clean,automatic,4wd,,,,,wa
39481,7192916921,baton rouge,34173,2017.0,chevrolet,silverado 1500 lt,good,8 cylinders,other,52873.0,clean,automatic,4wd,,pickup,silver,,la
167283,7193025919,lincoln,20000,2017.0,hyundai,santa fe sport awd,like new,6 cylinders,gas,5512.0,clean,automatic,4wd,mid-size,SUV,black,,ne
107349,7183439451,missoula,12000,2012.0,toyota,,excellent,4 cylinders,gas,,clean,automatic,fwd,mid-size,hatchback,grey,,mt
341760,7188769160,hartford,21995,2014.0,,ISUZU NPR/NPR-HD,,,gas,69179.0,clean,automatic,fwd,,truck,white,,ct
217865,7186530635,philadelphia,9895,2007.0,jeep,wrangler,excellent,,gas,235867.0,clean,manual,4wd,,wagon,black,,pa
76207,7196301557,south florida,2000,,,,,,,,,,,,,,,fl
171685,7182235039,yuma,1200,2004.0,acura,mdx,fair,6 cylinders,gas,160000.0,clean,automatic,4wd,,SUV,black,,az
128813,7181132335,western massachusetts,6995,2008.0,jeep,liberty limited,like new,,gas,162.0,clean,automatic,4wd,,,,,ma
211420,7193835262,nashville,13800,2008.0,ford,f150 4x4 f-150,excellent,8 cylinders,gas,103006.0,clean,automatic,4wd,full-size,truck,white,,tn
278601,7194519430,modesto,32985,2019.0,toyota,highlander,excellent,,gas,11607.0,clean,automatic,fwd,,SUV,silver,,ca
273823,7181549141,southeast missouri,0,2014.0,buick,enclave,excellent,6 cylinders,gas,,clean,automatic,fwd,mid-size,SUV,silver,,mo
57680,7196962806,denver,32990,,,,,,,,,,,,,,,co
68232,7180403447,mobile,0,2006.0,ford,f150,like new,8 cylinders,gas,,clean,automatic,rwd,full-size,,silver,,al
220492,7181542091,charlottesville,2600,1995.0,toyota,,,,gas,,clean,automatic,,,truck,,,va
180414,7195921283,wenatchee,27790,,,,,,,,,,,,,,,wa
189981,7180548626,springfield,7495,2014.0,ford,escape se,,,gas,,clean,automatic,,,,,,il
19349,7195589849,los angeles,10995,,,,,,,,,,,,,,,ca
43081,7189612826,medford-ashland,10500,2006.0,dodge,sprinter cab chassis 3500,,,diesel,182297.0,clean,automatic,,,,,,or
375491,7180079422,springfield,3750,2001.0,ford,mustang,,6 cylinders,gas,,clean,automatic,,,,yellow,,mo
395447,7181451898,ventura county,27900,2011.0,,isuzu npr,,6 cylinders,diesel,256000.0,clean,automatic,,full-size,truck,black,,ca
155478,7196586703,austin,18995,,,,,,,,,,,,,,,tx
171934,7186399982,east idaho,39998,2017.0,chevrolet,camaro ss convertible,,8 cylinders,gas,10355.0,clean,manual,rwd,,sedan,,,id
168666,7188591994,bakersfield,30790,2014.0,,Porsche Cayenne,excellent,,gas,95683.0,clean,automatic,4wd,,SUV,grey,,ca
389483,7191853106,lewiston / clarkston,0,2013.0,ford,fusion,,,gas,105393.0,clean,automatic,fwd,,sedan,black,,id
244060,7194422158,"kansas city, MO",2950,2000.0,toyota,sienna 5 door,excellent,6 cylinders,gas,180000.0,clean,automatic,fwd,mid-size,mini-van,custom,,ks
345297,7180199363,greenville / upstate,5950,2005.0,audi,a4,,,gas,144036.0,clean,manual,,,other,grey,,sc
336152,7192252041,tampa bay area,3995,2007.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,210028.0,clean,automatic,fwd,,hatchback,silver,,fl
362884,7196290811,phoenix,16500,,,,,,,,,,,,,,,az
358165,7193881286,asheville,0,2013.0,chevrolet,suburban,,8 cylinders,gas,133887.0,clean,automatic,4wd,full-size,SUV,white,,nc
242936,7193846492,sioux city,3850,2007.0,ford,taurus,good,6 cylinders,gas,94000.0,clean,automatic,fwd,,sedan,,,ia
95567,7193767530,cleveland,12890,2012.0,buick,enclave,,,gas,95145.0,clean,automatic,,,other,black,,oh
397645,7190968124,bakersfield,32995,2014.0,ford,f-350sd,,,diesel,141401.0,clean,automatic,4wd,,,white,,ca
39009,7196086481,rochester,5800,,,,,,,,,,,,,,,mn
312311,7187669098,dayton / springfield,99998,2015.0,ford,f-450sd,excellent,,gas,55055.0,clean,automatic,4wd,,pickup,,,oh
113081,7195755228,new orleans,5000,,,,,,,,,,,,,,,la
115887,7193907137,oklahoma city,11695,2013.0,honda,cr-v ex-l,like new,4 cylinders,gas,132850.0,clean,automatic,fwd,,SUV,white,,ok
156136,7195890082,austin,31700,,,,,,,,,,,,,,,tx
48892,7186098665,eugene,9500,2006.0,mercedes-benz,clk350,excellent,,gas,89656.0,clean,automatic,fwd,,convertible,white,,or
218379,7180447015,hartford,12399,2014.0,nissan,altima,good,4 cylinders,gas,24138.0,clean,automatic,fwd,,other,silver,,ct
268771,7194907804,maine,5850,2011.0,chevrolet,hhr,excellent,,gas,122755.0,clean,automatic,fwd,,SUV,white,,me
339041,7184754332,lexington,21985,2018.0,ford,edge,excellent,4 cylinders,gas,74491.0,clean,automatic,4wd,full-size,SUV,blue,,ky
76182,7196302422,south florida,7990,,,,,,,,,,,,,,,fl
67621,7194233041,atlanta,10500,2013.0,honda,civic ex sedan,excellent,4 cylinders,gas,93000.0,clean,automatic,fwd,compact,sedan,red,,ga
180569,7196956797,yakima,13900,,,,,,,,,,,,,,,wa
142356,7193877791,boise,43208,2018.0,dodge,charger rwd automatic,,,gas,38775.0,clean,automatic,rwd,,sedan,green,,id
388780,7194896014,denver,29999,2017.0,toyota,highlander,,6 cylinders,gas,43705.0,clean,automatic,4wd,mid-size,SUV,grey,,co
376492,7180170067,myrtle beach,45990,2019.0,chevrolet,silverado 1500 crew,good,8 cylinders,gas,8758.0,clean,other,4wd,,pickup,white,,sc
169331,7184093446,grand island,20988,2018.0,ford,escape,,,gas,,clean,automatic,4wd,,,,,ne
152352,7196581595,clarksville,8900,,,,,,,,,,,,,,,tn
263092,7192490543,mansfield,5000,2005.0,honda,cr-v,excellent,4 cylinders,gas,64000.0,clean,automatic,4wd,full-size,SUV,black,,oh
205002,7191259512,columbus,56900,2015.0,audi,rs7,excellent,8 cylinders,gas,69000.0,clean,automatic,4wd,,,grey,,oh
72229,7196613917,buffalo,5700,,,,,,,,,,,,,,,ny
